$mnode(0)setX5,"	$mnode(0)setY3","	$mnode(0)setZ0",,5,3,"(5, 3)"
$mnode(273)setX153,"	$mnode(273)setY137","	$mnode(273)setZ0",,153,137,"(153, 137)"
$mnode(274)setX166,"	$mnode(274)setY137","	$mnode(274)setZ0",,166,137,"(166, 137)"
$mnode(275)setX172,"	$mnode(275)setY136","	$mnode(275)setZ0",,172,136,"(172, 136)"
$mnode(276)setX187,"	$mnode(276)setY134","	$mnode(276)setZ0",,187,134,"(187, 134)"
$mnode(277)setX191,"	$mnode(277)setY138","	$mnode(277)setZ0",,191,138,"(191, 138)"
$mnode(278)setX6,"	$mnode(278)setY147","	$mnode(278)setZ0",,6,147,"(6, 147)"
$mnode(279)setX10,"	$mnode(279)setY149","	$mnode(279)setZ0",,10,149,"(10, 149)"
$mnode(280)setX27,"	$mnode(280)setY148","	$mnode(280)setZ0",,27,148,"(27, 148)"
$mnode(281)setX31,"	$mnode(281)setY146","	$mnode(281)setZ0",,31,146,"(31, 146)"
$mnode(282)setX40,"	$mnode(282)setY145","	$mnode(282)setZ0",,40,145,"(40, 145)"
$mnode(283)setX52,"	$mnode(283)setY146","	$mnode(283)setZ0",,52,146,"(52, 146)"
$mnode(284)setX68,"	$mnode(284)setY142","	$mnode(284)setZ0",,68,142,"(68, 142)"
$mnode(285)setX77,"	$mnode(285)setY141","	$mnode(285)setZ0",,77,141,"(77, 141)"
$mnode(286)setX89,"	$mnode(286)setY141","	$mnode(286)setZ0",,89,141,"(89, 141)"
$mnode(287)setX96,"	$mnode(287)setY147","	$mnode(287)setZ0",,96,147,"(96, 147)"
$mnode(288)setX107,"	$mnode(288)setY145","	$mnode(288)setZ0",,107,145,"(107, 145)"
$mnode(289)setX119,"	$mnode(289)setY140","	$mnode(289)setZ0",,119,140,"(119, 140)"
$mnode(290)setX121,"	$mnode(290)setY142","	$mnode(290)setZ0",,121,142,"(121, 142)"
$mnode(291)setX136,"	$mnode(291)setY147","	$mnode(291)setZ0",,136,147,"(136, 147)"
$mnode(292)setX146,"	$mnode(292)setY148","	$mnode(292)setZ0",,146,148,"(146, 148)"
$mnode(293)setX150,"	$mnode(293)setY145","	$mnode(293)setZ0",,150,145,"(150, 145)"
$mnode(294)setX162,"	$mnode(294)setY145","	$mnode(294)setZ0",,162,145,"(162, 145)"
$mnode(295)setX175,"	$mnode(295)setY142","	$mnode(295)setZ0",,175,142,"(175, 142)"
$mnode(296)setX182,"	$mnode(296)setY148","	$mnode(296)setZ0",,182,148,"(182, 148)"
$mnode(297)setX194,"	$mnode(297)setY147","	$mnode(297)setZ0",,194,147,"(194, 147)"
$mnode(298)setX6,"	$mnode(298)setY157","	$mnode(298)setZ0",,6,157,"(6, 157)"
$mnode(299)setX25,"	$mnode(299)setY153","	$mnode(299)setZ0",,25,153,"(25, 153)"
$mnode(300)setX38,"	$mnode(300)setY150","	$mnode(300)setZ0",,38,150,"(38, 150)"
$mnode(301)setX48,"	$mnode(301)setY154","	$mnode(301)setZ0",,48,154,"(48, 154)"
$mnode(302)setX55,"	$mnode(302)setY150","	$mnode(302)setZ0",,55,150,"(55, 150)"
$mnode(303)setX61,"	$mnode(303)setY150","	$mnode(303)setZ0",,61,150,"(61, 150)"
$mnode(304)setX79,"	$mnode(304)setY155","	$mnode(304)setZ0",,79,155,"(79, 155)"
$mnode(305)setX80,"	$mnode(305)setY156","	$mnode(305)setZ0",,80,156,"(80, 156)"
$mnode(306)setX97,"	$mnode(306)setY157","	$mnode(306)setZ0",,97,157,"(97, 157)"
$mnode(307)setX100,"	$mnode(307)setY150","	$mnode(307)setZ0",,100,150,"(100, 150)"
$mnode(308)setX119,"	$mnode(308)setY152","	$mnode(308)setZ0",,119,152,"(119, 152)"
$mnode(309)setX126,"	$mnode(309)setY155","	$mnode(309)setZ0",,126,155,"(126, 155)"
$mnode(310)setX139,"	$mnode(310)setY156","	$mnode(310)setZ0",,139,156,"(139, 156)"
$mnode(311)setX146,"	$mnode(311)setY156","	$mnode(311)setZ0",,146,156,"(146, 156)"
$mnode(312)setX159,"	$mnode(312)setY159","	$mnode(312)setZ0",,159,159,"(159, 159)"
$mnode(313)setX163,"	$mnode(313)setY152","	$mnode(313)setZ0",,163,152,"(163, 152)"
$mnode(314)setX178,"	$mnode(314)setY158","	$mnode(314)setZ0",,178,158,"(178, 158)"
$mnode(315)setX189,"	$mnode(315)setY159","	$mnode(315)setZ0",,189,159,"(189, 159)"
$mnode(316)setX197,"	$mnode(316)setY155","	$mnode(316)setZ0",,197,155,"(197, 155)"
$mnode(317)setX8,"	$mnode(317)setY160","	$mnode(317)setZ0",,8,160,"(8, 160)"
$mnode(318)setX29,"	$mnode(318)setY165","	$mnode(318)setZ0",,29,165,"(29, 165)"
$mnode(319)setX33,"	$mnode(319)setY169","	$mnode(319)setZ0",,33,169,"(33, 169)"
$mnode(320)setX43,"	$mnode(320)setY166","	$mnode(320)setZ0",,43,166,"(43, 166)"
$mnode(321)setX57,"	$mnode(321)setY169","	$mnode(321)setZ0",,57,169,"(57, 169)"
$mnode(322)setX60,"	$mnode(322)setY164","	$mnode(322)setZ0",,60,164,"(60, 164)"
$mnode(323)setX77,"	$mnode(323)setY163","	$mnode(323)setZ0",,77,163,"(77, 163)"
$mnode(324)setX88,"	$mnode(324)setY163","	$mnode(324)setZ0",,88,163,"(88, 163)"
$mnode(325)setX96,"	$mnode(325)setY164","	$mnode(325)setZ0",,96,164,"(96, 164)"
$mnode(326)setX100,"	$mnode(326)setY168","	$mnode(326)setZ0",,100,168,"(100, 168)"
$mnode(327)setX118,"	$mnode(327)setY162","	$mnode(327)setZ0",,118,162,"(118, 162)"
$mnode(328)setX121,"	$mnode(328)setY169","	$mnode(328)setZ0",,121,169,"(121, 169)"
$mnode(329)setX137,"	$mnode(329)setY163","	$mnode(329)setZ0",,137,163,"(137, 163)"
$mnode(330)setX146,"	$mnode(330)setY163","	$mnode(330)setZ0",,146,163,"(146, 163)"
$mnode(331)setX156,"	$mnode(331)setY169","	$mnode(331)setZ0",,156,169,"(156, 169)"
$mnode(332)setX169,"	$mnode(332)setY164","	$mnode(332)setZ0",,169,164,"(169, 164)"
$mnode(333)setX172,"	$mnode(333)setY166","	$mnode(333)setZ0",,172,166,"(172, 166)"
$mnode(334)setX182,"	$mnode(334)setY168","	$mnode(334)setZ0",,182,168,"(182, 168)"
$mnode(335)setX195,"	$mnode(335)setY163","	$mnode(335)setZ0",,195,163,"(195, 163)"
$mnode(336)setX3,"	$mnode(336)setY177","	$mnode(336)setZ0",,3,177,"(3, 177)"
$mnode(337)setX13,"	$mnode(337)setY173","	$mnode(337)setZ0",,13,173,"(13, 173)"
$mnode(338)setX21,"	$mnode(338)setY177","	$mnode(338)setZ0",,21,177,"(21, 177)"
$mnode(339)setX32,"	$mnode(339)setY174","	$mnode(339)setZ0",,32,174,"(32, 174)"
$mnode(340)setX41,"	$mnode(340)setY179","	$mnode(340)setZ0",,41,179,"(41, 179)"
$mnode(341)setX50,"	$mnode(341)setY175","	$mnode(341)setZ0",,50,175,"(50, 175)"
$mnode(342)setX69,"	$mnode(342)setY175","	$mnode(342)setZ0",,69,175,"(69, 175)"
$mnode(343)setX79,"	$mnode(343)setY179","	$mnode(343)setZ0",,79,179,"(79, 179)"
$mnode(344)setX83,"	$mnode(344)setY175","	$mnode(344)setZ0",,83,175,"(83, 175)"
$mnode(345)setX94,"	$mnode(345)setY170","	$mnode(345)setZ0",,94,170,"(94, 170)"
$mnode(346)setX102,"	$mnode(346)setY176","	$mnode(346)setZ0",,102,176,"(102, 176)"
$mnode(347)setX119,"	$mnode(347)setY179","	$mnode(347)setZ0",,119,179,"(119, 179)"
$mnode(348)setX122,"	$mnode(348)setY173","	$mnode(348)setZ0",,122,173,"(122, 173)"
$mnode(349)setX134,"	$mnode(349)setY173","	$mnode(349)setZ0",,134,173,"(134, 173)"
$mnode(350)setX141,"	$mnode(350)setY173","	$mnode(350)setZ0",,141,173,"(141, 173)"
$mnode(351)setX150,"	$mnode(351)setY178","	$mnode(351)setZ0",,150,178,"(150, 178)"
$mnode(352)setX169,"	$mnode(352)setY175","	$mnode(352)setZ0",,169,175,"(169, 175)"
$mnode(353)setX174,"	$mnode(353)setY179","	$mnode(353)setZ0",,174,179,"(174, 179)"
$mnode(354)setX189,"	$mnode(354)setY177","	$mnode(354)setZ0",,189,177,"(189, 177)"
$mnode(355)setX197,"	$mnode(355)setY171","	$mnode(355)setZ0",,197,171,"(197, 171)"
$mnode(356)setX1,"	$mnode(356)setY186","	$mnode(356)setZ0",,1,186,"(1, 186)"
$mnode(357)setX12,"	$mnode(357)setY187","	$mnode(357)setZ0",,12,187,"(12, 187)"
$mnode(358)setX28,"	$mnode(358)setY181","	$mnode(358)setZ0",,28,181,"(28, 181)"
$mnode(359)setX35,"	$mnode(359)setY181","	$mnode(359)setZ0",,35,181,"(35, 181)"
$mnode(360)setX47,"	$mnode(360)setY180","	$mnode(360)setZ0",,47,180,"(47, 180)"
$mnode(361)setX55,"	$mnode(361)setY186","	$mnode(361)setZ0",,55,186,"(55, 186)"
$mnode(362)setX68,"	$mnode(362)setY181","	$mnode(362)setZ0",,68,181,"(68, 181)"
$mnode(363)setX74,"	$mnode(363)setY189","	$mnode(363)setZ0",,74,189,"(74, 189)"
$mnode(364)setX83,"	$mnode(364)setY183","	$mnode(364)setZ0",,83,183,"(83, 183)"
$mnode(365)setX94,"	$mnode(365)setY189","	$mnode(365)setZ0",,94,189,"(94, 189)"
$mnode(366)setX109,"	$mnode(366)setY188","	$mnode(366)setZ0",,109,188,"(109, 188)"
$mnode(367)setX118,"	$mnode(367)setY188","	$mnode(367)setZ0",,118,188,"(118, 188)"
$mnode(368)setX124,"	$mnode(368)setY182","	$mnode(368)setZ0",,124,182,"(124, 182)"
$mnode(369)setX135,"	$mnode(369)setY185","	$mnode(369)setZ0",,135,185,"(135, 185)"
$mnode(370)setX144,"	$mnode(370)setY180","	$mnode(370)setZ0",,144,180,"(144, 180)"
$mnode(371)setX156,"	$mnode(371)setY181","	$mnode(371)setZ0",,156,181,"(156, 181)"
$mnode(372)setX162,"	$mnode(372)setY181","	$mnode(372)setZ0",,162,181,"(162, 181)"
$mnode(373)setX175,"	$mnode(373)setY187","	$mnode(373)setZ0",,175,187,"(175, 187)"
$mnode(374)setX187,"	$mnode(374)setY185","	$mnode(374)setZ0",,187,185,"(187, 185)"
$mnode(375)setX194,"	$mnode(375)setY188","	$mnode(375)setZ0",,194,188,"(194, 188)"
$mnode(376)setX7,"	$mnode(376)setY191","	$mnode(376)setZ0",,7,191,"(7, 191)"
$mnode(377)setX15,"	$mnode(377)setY194","	$mnode(377)setZ0",,15,194,"(15, 194)"
$mnode(378)setX23,"	$mnode(378)setY194","	$mnode(378)setZ0",,23,194,"(23, 194)"
$mnode(379)setX36,"	$mnode(379)setY198","	$mnode(379)setZ0",,36,198,"(36, 198)"
$mnode(380)setX44,"	$mnode(380)setY190","	$mnode(380)setZ0",,44,190,"(44, 190)"
$mnode(381)setX54,"	$mnode(381)setY191","	$mnode(381)setZ0",,54,191,"(54, 191)"
$mnode(382)setX66,"	$mnode(382)setY199","	$mnode(382)setZ0",,66,199,"(66, 199)"
$mnode(383)setX77,"	$mnode(383)setY199","	$mnode(383)setZ0",,77,199,"(77, 199)"
$mnode(384)setX88,"	$mnode(384)setY192","	$mnode(384)setZ0",,88,192,"(88, 192)"
$mnode(385)setX96,"	$mnode(385)setY199","	$mnode(385)setZ0",,96,199,"(96, 199)"
$mnode(386)setX105,"	$mnode(386)setY193","	$mnode(386)setZ0",,105,193,"(105, 193)"
$mnode(387)setX116,"	$mnode(387)setY194","	$mnode(387)setZ0",,116,194,"(116, 194)"
$mnode(388)setX129,"	$mnode(388)setY195","	$mnode(388)setZ0",,129,195,"(129, 195)"
$mnode(389)setX139,"	$mnode(389)setY193","	$mnode(389)setZ0",,139,193,"(139, 193)"
$mnode(390)setX144,"	$mnode(390)setY190","	$mnode(390)setZ0",,144,190,"(144, 190)"
$mnode(391)setX155,"	$mnode(391)setY198","	$mnode(391)setZ0",,155,198,"(155, 198)"
$mnode(392)setX164,"	$mnode(392)setY194","	$mnode(392)setZ0",,164,194,"(164, 194)"
$mnode(393)setX170,"	$mnode(393)setY193","	$mnode(393)setZ0",,170,193,"(170, 193)"
$mnode(394)setX182,"	$mnode(394)setY194","	$mnode(394)setZ0",,182,194,"(182, 194)"
$mnode(395)setX199,"	$mnode(395)setY193","	$mnode(395)setZ0",,199,193,"(199, 193)"
$mnode(396)setX114,"	$mnode(396)setY106","	$mnode(396)setZ0",,114,106,"(114, 106)"
$mnode(397)setX103,"	$mnode(397)setY99","	$mnode(397)setZ0",,103,99,"(103, 99)"
$mnode(398)setX94,"	$mnode(398)setY92","	$mnode(398)setZ0",,94,92,"(94, 92)"
$mnode(399)setX87,"	$mnode(399)setY97","	$mnode(399)setZ0",,87,97,"(87, 97)"
